chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\module-info.java, module-info.java, 43, 3, 0.069767445, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java, AbstractAnnotation.java, 198, 130, 0.65656567, 18, 0.03647587075829506
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java, AbstractXYAnnotation.java, 186, 109, 0.5860215, 26, 0.02253928780555725
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\Annotation.java, Annotation.java, 57, 50, 0.877193, 1, 0.8771929740905762
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java, CategoryAnnotation.java, 60, 50, 0.8333333, 1, 0.8333333134651184
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java, CategoryLineAnnotation.java, 390, 192, 0.4923077, 50, 0.009846153669059277
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java, CategoryPointerAnnotation.java, 480, 243, 0.50625, 51, 0.009926470927894115
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java, CategoryTextAnnotation.java, 246, 123, 0.5, 30, 0.01666666753590107
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\package-info.java, package-info.java, 4, 3, 0.75, -1, -0.75
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation.java, 314, 177, 0.56369424, 43, 0.013109168037772179
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYAnnotation.java, XYAnnotation.java, 64, 53, 0.828125, 1, 0.828125
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo.java, 64, 57, 0.890625, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java, XYBoxAnnotation.java, 342, 166, 0.4853801, 44, 0.01103136595338583
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java, XYDataImageAnnotation.java, 335, 176, 0.52537316, 33, 0.015920398756861687
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java, XYDrawableAnnotation.java, 270, 128, 0.47407407, 26, 0.018233617767691612
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java, XYImageAnnotation.java, 272, 138, 0.50735295, 28, 0.018119748681783676
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java, XYLineAnnotation.java, 331, 151, 0.45619336, 35, 0.013034095987677574
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java, XYPointerAnnotation.java, 494, 242, 0.48987854, 53, 0.009242990985512733
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java, XYPolygonAnnotation.java, 321, 150, 0.46728972, 46, 0.010158471763134003
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java, XYShapeAnnotation.java, 272, 120, 0.44117647, 34, 0.012975778430700302
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java, XYTextAnnotation.java, 583, 301, 0.516295, 79, 0.006535380147397518
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java, XYTitleAnnotation.java, 359, 147, 0.40947077, 47, 0.008712143637239933
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\api\HorizontalAlignment.java, HorizontalAlignment.java, 48, 42, 0.875, 2, 0.4375
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\api\Layer.java, Layer.java, 37, 32, 0.8648649, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java, LengthAdjustmentType.java, 47, 41, 0.87234044, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\api\package-info.java, package-info.java, 4, 3, 0.75, -1, -0.75
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\api\PublicCloneable.java, PublicCloneable.java, 53, 48, 0.9056604, 1, 0.9056603908538818
